poll_agency,poll_agency_url,poll_dates,clinton_vs,trump_vs,lead
Bloomberg,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,11/4 - 11/6,46,43,Clinton +3
IBD/TIPP Tracking,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,11/4 - 11/7,43,42,Clinton +1
Economist/YouGov,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l37rosbwjp/econTabReport_lv.pdf,11/4 - 11/7,49,45,Clinton +4
LA Times/USC Tracking,http://cesrusc.org/election/,11/1 - 11/7,44,47,Trump +3
ABC/Wash Post Tracking,http://abcnews.go.com/Politics/2016-race-stays-47-43-sunday-poll/story?id=43364234&mc_cid=3db3f85085&mc_eid=9430bf74bd,11/3 - 11/6,49,46,Clinton +3
FOX News,http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,11/3 - 11/6,48,44,Clinton +4
Monmouth,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/,11/3 - 11/6,50,44,Clinton +6
NBC News/Wall St. Jrnl,https://www.scribd.com/document/330170543/9amET-NBCWSJ-release,11/3 - 11/5,48,43,Clinton +5
CBS News,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,11/2 - 11/6,47,43,Clinton +4
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_Daily_11.07_.16_.pdf,11/2 - 11/6,44,39,Clinton +5
McClatchy/Marist,http://www.mcclatchydc.com/news/politics-government/election/article112635048.html,11/1 - 11/3,46,44,Clinton +2
FOX News,http://www.foxnews.com/politics/2016/11/04/fox-news-poll-clinton-ahead-trump-by-two-points.html,11/1 - 11/3,46,45,Clinton +1
NBC News/SM,https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8,10/31 - 11/6,51,44,Clinton +7
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_Daily_11.05_.16_.pdf,10/31 - 11/4,44,40,Clinton +4
Gravis,http://www.realclearpolitics.com/docs/2016/Gravis_November_3rd_2016.pdf,10/31 - 10/31,50,50,Tie
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_Daily_11.04_.16_.pdf,10/30 - 11/3,44,39,Clinton +5
Economist/YouGov,https://today.yougov.com/news/2016/11/02/yougoveconomist-poll-october-30-november-1-2016/,10/30 - 11/1,48,45,Clinton +3
Reuters/Ipsos,http://www.realclearpolitics.com/docs/2016/2016_Reuters_Tracking_-_Core_Political_11.03_.16_.pdf,10/29 - 11/2,45,39,Clinton +6
CBS News/NY Times,http://www.cbsnews.com/news/five-days-to-go-the-presidential-race-tightens-cbsnyt-poll/,10/28 - 11/1,47,44,Clinton +3
ABC/Wash Post Tracking,http://abcnews.go.com/Politics/trump-leads-clinton-point-poll-enthusiasm-declines/story?id=43199459,10/27 - 10/30,48,47,Clinton +1
LA Times/USC Tracking,http://cesrusc.org/election/,10/25 - 10/31,43,47,Trump +4
IBD/TIPP Tracking,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,10/25 - 10/30,45,43,Clinton +2
NBC News/SM,http://www.nbcnews.com/storyline/data-points/poll-clinton-maintains-national-lead-over-trump-despite-fbi-letter-n675771,10/24 - 10/30,51,44,Clinton +7
LA Times/USC Tracking,http://cesrusc.org/election/,10/22 - 10/28,44,46,Trump +2
